,support,itemsets
0,0.7972093023255814,frozenset({'PÃO'})
1,0.7424779069767442,frozenset({'PAPEL HIGIÉNICO'})
2,0.5007674418604651,frozenset({'PÃO DE FORMA'})
3,0.3771825581395349,frozenset({'IOGURTE LIGHT'})
4,0.33998372093023255,frozenset({'COUVE'})
5,0.33388720930232557,frozenset({'AZEITE'})
6,0.32249418604651164,frozenset({'VINAGRE'})
7,0.3173,frozenset({'OLEO'})
8,0.7881186046511628,frozenset({'AGUA'})
9,0.3632348837209302,frozenset({'VINHO'})
10,0.32275581395348835,frozenset({'IOGURTES LIQUIDOS'})
11,0.3461872093023256,frozenset({'ALFACE'})
12,0.4224244186046512,frozenset({'ICETEA'})
13,0.3846139534883721,frozenset({'PILHAS'})
14,0.3485360465116279,frozenset({'BERINGELA'})
15,0.3533488372093023,frozenset({'BOLACHAS'})
16,0.32360697674418604,frozenset({'SAL'})
17,0.3236779069767442,frozenset({'MELANCIA'})
18,0.32917209302325584,frozenset({'SUMOL'})
19,0.36477906976744184,frozenset({'CEREAIS'})
20,0.5916406976744186,"frozenset({'PAPEL HIGIÉNICO', 'PÃO'})"
21,0.5845558139534883,"frozenset({'PAPEL HIGIÉNICO', 'AGUA'})"
22,0.46569302325581396,"frozenset({'PAPEL HIGIÉNICO', 'AGUA', 'PÃO'})"
23,0.3988116279069767,"frozenset({'PÃO', 'PÃO DE FORMA'})"
24,0.37137790697674417,"frozenset({'PAPEL HIGIÉNICO', 'PÃO DE FORMA'})"
25,0.39415,"frozenset({'AGUA', 'PÃO DE FORMA'})"
26,0.31355116279069767,"frozenset({'AGUA', 'PÃO', 'PÃO DE FORMA'})"
27,0.3003046511627907,"frozenset({'PÃO', 'IOGURTE LIGHT'})"
28,0.3209837209302326,"frozenset({'AGUA', 'IOGURTE LIGHT'})"
29,0.6279325581395349,"frozenset({'AGUA', 'PÃO'})"
30,0.33631627906976747,"frozenset({'PÃO', 'ICETEA'})"
31,0.3325511627906977,"frozenset({'AGUA', 'ICETEA'})"
32,0.3129872093023256,"frozenset({'PAPEL HIGIÉNICO', 'ICETEA'})"
33,0.30613837209302325,"frozenset({'PILHAS', 'PÃO'})"
34,0.3028453488372093,"frozenset({'AGUA', 'PILHAS'})"
