,distribution,total,sale_by_shelf
0,"[  8 124   3  50   4  82  85  10  13  39   5 106 144  49   4  80  44  76
  92  55   1  96  69  66 137 163  16 155   5  15   7 113  98 122  81 117
 152  80   3   3  57  17  68  19 132 149   1 125 142 153   3  21  24  53
  59  11 146  70  74 129  35  77 155  54  63  33 156  61 154 114  89 164
  85   4  97 129  44  64  65   7 109 128 161 111   1  58 141  18 108 119
   5  35 103 162  42 115  15 143  91   8  64  87 123 133 100 107  88  38
 160  84 122 152  23  79 151 124  27  62  45  25  83 150   8 120 135  16
   9 122   2 140  51  48  37 147  47  32   3  18  90   2  78   9 159  41
 133 126  84  20   1 116 165  88  40 131 138 145  67  57 101 134  72  81
  64  34   9  18   7 159   2  31 112  83   4 136  84 131  22  19  36  26
 147 158  24  33   4  25  30  60  45  71  43  38  14  56  95 127  73  12
  37  88  62  61   2 130  18 147  65  18 157  75 139 105  29 104  36  32
  46 102  33  19  94 147 118  40  80 121  87  86  28  34 161  69 110   1
 156  52  60   6  83  93  80  80  99  15   2  67 160 148]",315268.2230000001,"[  806   345   701  2135  1043  3496  1116   876  2187  4596   545  1199
   901  2918  1776  5621  1636  1314   962   543    50  4213    62   917
  2273  2798  1677   773   394  1127   595   377  2972   619  3427   189
    81  5735  1169   210   138  3576   573  1171  2797  2977   174  2333
   702   622   361   607   680  3424  1124   352   238  1376  1603  1515
  2914  1112  3580  1647   533   451  1739   936  5110   527  1581   664
  2733  1546  4178  2160  2465  4245   580   351  2465  3221  4872  1228
   333   264   872  2368  2091  1580  1158  1858  1469  3582  3984   597
  6346   674  1241   290  3760  1398  1162 12761  2679   426  1044  3533
   973  2179   612   120  2782  3490  2548   913  3794  3389   737  3190
 13099  2760   946  1245   895  2821   177   932   245   693  1784  3846
  1769  4587  4314   595   983  1653  2115   336   542   251  3991  3766
  3557  2028  6199   492   300   834   393   734   916   740  1096   736
   590  2416  2007  2195   303 15708  1179  3564  1463  2176  1168  1260
   333   193   981  2735  1314   877  2890  2819   633  2423  4637  3040
 13810  3385  4763  2921  3608  1372   981  2267  2957   345  1771  4452
  1896   551  5131  2435  1478   869  3657  1858   980  2028   365  3640
  1063 13586  2601  7686  3910  1511   850  1608  2391  1358  1606  2936
  2233  1976  1809  4830  5209 17785   907  3866 15280  1021  2608  2914
   997  2492  2495  1357  1506  1171  4074  1676   296  1493  5856  3073
  6986  7638  2945  4771   995  2517  2187  4993]"
1,"[ 18 133  68  78 104  82  72  74   3  39  67  69 140  69   7  85   7  14
  73 106 110  96   1   4  31   6  75  26 150  45   4 111  18  66  81 129
 124  80  19 116 115  17  13  58 163 141  80  15   4   2  85 113  60  53
  18  50 125  86   1  98  21  30  64  62   5  92 160  16 154  55  11  56
  77 135  97 138 142  64  65 103   8 152  87 122 118 165  40 114  51  34
 109 119  49  67  42  70  84  61   3  25  28 112 129  87 123 155  33  57
 155  29 101 128 100  79  64   9  27   9   8  22  83   2  91 107  65 153
  33  36  16  59 121  48  32   1  47 124   9  38   1  10  71 120 149  41
 133   2  84  88  43  60 122  63  54   8  88   5 147 156  62  90  89  81
  18  34 117  18  33 159  12  40   2  83 131 134  84   3  37  19 146  44
 147 158 160   3  15  25   4 127 145 105 162  38  23 159  95  24  52  44
  37 164  45 137 144  20   1 147  76 131 157 143  88 152  24   7  36  32
 161  35 136  19  94 147   4 161  80  57  61   5 151 102 108 122 156 132
   3 126  35 139  83  93  80  80  99  15  46 130   2 148]",314404.185,"[ 3367  4849   568   584  1337  3557   305  1682   418  4596   925   454
   737  1007   152  1541   532  1888  1450  1039  1056  4219    22  1543
   203  1492  1506  3036  2757  1353  1007  1278  2616   772  3475   709
   542  5129  3356   891   269  3567  2340   261  2632   829  1973   782
   449   211  2309   375   366  3367  1576  2031  2368  2853    38  3097
   724   965  2859  2610   415   991   583  1328  5079   558   353   587
  1107   910  4166  1146   755  3939  1102  1390   133   107  1973   610
   910   393  1935   541  1939  1452  2732  1801  2948  2245  4003  1420
  8938   919   216   599   996   856  3044  2730  1147  2091  1704   840
  1772  2395  2041  3140  2721  3498  2162   294  3837  1356   227   727
 13460   264  1221   414  1747   618   707   715  3150  1129  1013  3873
   701   227  4281   689   412  1773  1304   876   331  1000  2997  3805
  2984   220  5822  2651  1731  1664   370   507  1002  1608   620   437
  3190  1422  1238  1898  1563 15034  1384  4590   189  5096  2353  2069
   886  2791   494  3314   973  2196  2696   366  3243  2431   292  2579
 15264  3419  3084  1493  3595  3240  3185  2484   844  1911  3387  5295
  2740  2013  5244  1270  1585  1123  2309   648  2007  2044   859   446
   481 12940  1412  2761  3927   710  1602   105  3408  1430  4018  2836
  2306  2755   900  4082  5166 17244  2456  3273 14537  1869  1953  1322
  2552  1957  2213  1247  4249  2836   855  2053  1562   860  5469  3059
  6642  7087  2922  5156  2267  3559   926  4491]"
2,"[107   3   9  71 124  82  10  69 152  39  21  63  19  49 127  69 119  12
  92  30 113  96  68 156  14 140 153  70 150   2 161 141  98  77  81 110
 143  80  60   2   2  17  61  62 163 149  54 125 142  57  33  88 137  53
 118  50 146  86   4   5 129  37  64 131   3 111 156   8 154 116  24 114
 103  60  97 129  67  64 144  62 109 128  15  76  61  35  90  18 108   2
  43  35 106 162  42 136  89 164   1   4  16  24  66 133  87  74   7  38
 145  84 135  18 100  79 104  44  27   1 155   9  83  44   5  80   4  22
  59   6  11  67  51  48  56 147  47  64  18  18 117   4  72 139 159  41
 133 126  84  88  28 160 122 138 101   8   1  20   1  36 123  65 122  81
 152  34  85  18   7 112 121  25  33  83 131  16  84  15   8  19  36  26
 147 158 160  33   4 115   5  31  45 134  85  38  23  55  95   2  78  25
  37  32  45   3  57 130  65 147   7 120 157  75 105  73  29  40 124 165
  46 102  13  19  94 147  88  40  80 155  58 159 151  34 161   3  91 132
 122  52   3   9  83  93  80  80  99  15  87  32   1 148]",314631.2749999999,"[  470   661   271   335   348  3568   874   414    80  4593   624   530
  2106  2933  2452  1102  2237   853   977   960   368  4212   542  2875
  2055   719   626  1409  2755   553  1714   866  2956  1129  3666  1509
   729  6224  1413   237    31  3577  1897   693  2659  2977  1003  2341
   698   501   430   372  2027  3582   905  2072   250  2851   283   588
  2013  1047  2866  2093   561  1303  3266   493  5126   993  1814   513
  1431  1234  4174  1706  1444  4569   860  1944  2439  3224  4995  1363
  1541  1698  1928  2178  2056   579  1826  2414  1203  3662  4031   916
  1844   659   111   897  2788  2616  1206 12677  1160  1696   443  3812
   765  2282   903  2876  2717  3492  1387  2127  3858   933   859   848
 11858  1609   150  2134   733   613  1111  1487   347  1674  1745  3854
   582  4361  4291  1193  2568   697   189  1114   301   798  3650  3785
  3307  2038  5942  2394   988   275   128  1072  1926   285    35   380
   206   274  1124   813   436 14911   110  3662  2597  5521   541  1004
  1020  1851   544  3080  1669  1952  3253  2152  1277  2710  5748  3044
 13736  3459  3336  3760  4145   392  1503   204  2121  2289  1257  4293
  2739   556  5101   778   549  2093  4111   860  1576   572  2088  3619
  1734 13262  1131  3759  3884  1503  1599  1501  2393  1722   891   391
  2242  1971  2234  4149  5168 17955  1909  3120 14582  2992   262  2159
  2551  2400  3360   591  1273  2829  1570  1668  1065   808  5538  3076
  6673  7378  2931  4719  2977  2601   827  4492]"
3,"[ 18 133   8  78   9  82  77  74 143  39 120  69 165  69   7  85 142  14
  73  61 110  96   3   4 122   6  75  26 150 139 122  10  18 111  81   4
 152  80  19  12 160  17  13  58 163   3  80  15 107  88  85 129   1  53
  18  50 125  86  57  98  21   4  64  62  65 115  91  16 154  31 122  67
   5 135  97 140   7  64   5 103  68  24  87  55   1  54  40 114  51  34
 109 119  49  67  42   2  84 136 138  25  30 112 129  87  33 155  33   1
 155  29 101 128 100  79  64   9  27   9   8  66  83 123  92 113  65   1
  22 124  16   2  11  48  32   5  47  36 104  38  44  59  71  56 149  41
 133 121  84  88  43  60  70   1 106   8 153  72 147 156  62  90  89  81
  18  34   7  18  33 159 116  40  20  83 131 134  84   3  37  19 146  44
 147 158 160   3  15  25   4 127 152 105 162  38  23 159  95 124  52  63
  37 164  45 137 144   2 118 147  76 131 157 141  88   3  24  60  36  32
 161  35 117  19  94 147   4 161  80  57  61 145 151 102 108  28 156 132
   2 126  35  45  83  93  80  80  99  15  46 130   2 148]",315050.60399999993,"[ 3291  4670   732   579   296  3645  1122  1671   699  4596  1743   486
   391  1021   378  1589   762  1875  1443   369  1044  4217    80  1494
   730  1492  1499  3034  2758   825   436   881  2633  1323  3581  1124
    56  5414  3517   856   125  3562  2298   260  2613   170  1897   756
   395   326  2260   319   190  3364  1479  2019  2370  2851   146  3069
   691   367  2812  2420   995   411  1233  1291  5084   199  1128   760
   516   913  4153   714   389  3791   498  1394   544  3602  1967   562
   327  1143  1873   547  1878  1460  2693  1823  2980  2375  4032   668
  8827   883  1115   622   996   878  3369  2718  1185  2035  1202   375
  1798  2391  2034  3149  2731  3504  2115   303  3877  1528   279  1312
 13076  1126   980   374  1672   288   604   244  3182   178   351  3830
   671  1060  4230  1189  1292  1953  2094  1140   333   516  2996  3818
  3422  1017  5739  2899  1773   517  1379   863  1127  1062   621   300
  3227  1457  1263  1900  1543 15210  1577  4613  1349  5019  2678  2118
   989  2876   395  3276  1070  2199  2714   358  3322  2418   291  2779
 15139  3436  3351  1525  3567  3256  3365  2480   145  1925  3390  5201
  2765  1910  5195   964  1559   513  2251   648   905  2033   860   741
   906 13066  1400  2667  3919   895  1579   870  2717  1654  3814  2853
  2281  2732   189  4135  5108 17338  2446  3351 14694  2458  2325   838
  2548  1956  2223   996  4214  2823   358  2059  1636  2635  5652  3060
  6604  7237  2942  5241  2283  3561   734  4576]"
4,"[153 135  11  50  18  82  85  57  13  39   5 106 117  49   4  80  44  76
  92  55   9  96  69 122 137 163  16   7  88  15 164 122  98   3  81  61
  71  80   3 143 115  17  45  19 132 149  32 125  56  68 141  21 152  53
   3 155  33  70  74 129  35  77 155  54   2 144 156  65 154 160  89  59
  85   4  97 129  44  64 107   7 109 128 161 111 140   4  58  18 108 119
   5  35 103 162  42 165  15   3  91 152  64  87 123 133 100 124  88  38
  40  84 124  24  23  79 151  28  27  62   9  25  83 150   8 120   1  16
 114  20   2   8  51  48  37 147  47   1   3  18  90   1  78 136 159  41
 133 126  84 146  66 113   8 145   2 131 138   5  67  57 101 134  72  81
  64  34   9  18   7 159 139  22 112  83   4  10  84 131  31  19  36  26
 147 158  24  33   4  25  60  60  45   1  43  38  14 118  95 127  73  12
  37  88  62  61  63 130 116 147  65  18 157  75   2 105  29 104  36  32
  46 102  33  19  94 147 142  40  80 121  87  86 122  34 161  69 110   1
 156  52  30   6  83  93  80  80  99  15   2  67 160 148]",315786.13,"[  640   917   366  2135  2111  3460  1090   863  2176  4602   657  1170
   189  2886  1742  5713  1607  1301   962   544    43  4218    66   439
  2263  2798  1734   592  1004  1149   673   314  2970   576  3602  1149
   343  5657  1197   667   274  3587  2082  1197  2795  2978   465  2338
   493   545   844   605    36  3419   414   533   744  1377  1614  1556
  2911  1118  3767  1675   345   846  1717   823  5117   912  1554  1158
  2759  1485  4174  2145  2459  4173   433   352  2454  3217  4797  1243
   719  1253   258  2215  2028  1551   595  1809  1461  3585  4001   394
  6274   568  1262   150  3734  1454  1162 12840  2680   556  1054  3496
  1192  2198   674  1237  2799  3471  2549   995  3831  3395   222  3145
 13019  2759   614  1135   169  2760   494   386   156   369  1747  3841
  1618  4239  4254   139   880  1780  2152   106   562   872  4168  3802
  3695  2035  6314   257   681   378  1016   735   334   766  1095   833
   604  1746  1977  2187   301 15490  1234  3486  1617  2203  1169  1383
   795   612   991  3007  1341   883  2954  2813   198  2461  4642  3043
 13902  3386  4569  2907  3337  1407   253  2309  2427   885  1778  4476
  1895   908  5238  2430  1478   871  3812  1793   956  1913   529  3617
   740 13536  2406  7322  3881  1493   500  1631  2391  1377  1617  2987
  2209  2004  1816  4794  5193 17662   775  3697 15200  1020  2575  2906
  1473  2567  2438  1337  1530   780  4089  1708   977  1492  5825  3084
  6959  7615  2934  4798  1048  2488  2219  4993]"
5,"[  5  68 122  50   4  82  85  10  13  39 152 106 144  49   4  80  44  76
  92  55 139  96  21  66 137 163  16   1   8  15  32   3  98 152  81   2
 113  80   3 153  72  17 122  19 132 149 142 125   2 107  57 131 135  53
  59  11 146  70  74 129  35  77 155  54 140 116 156  61 154   2  89 164
  85   4  97 129  44  64   1   7 109 128 161 111   3 117 141  18 108 119
   5  35 103 162  42  67  15   1  91  71  64  87 123 133 100   5  88  38
 160  84  40   3  23  79 151  56  27  62   9  25  83 150   8 120   1  16
  60 122   7   9  51  48  37 147  47 155   3  18  90 114  78  20 159  41
 133 126  84 115 143   8 124  88  65  33 138 112 165  57 101 134  24  81
  64  34   9  18   7 159 124  31  58  83   4 136  84 131 145  19  36  26
 147 158  24  33   4  25  30  60  45  63  43  38  14  45  95 127  73  12
  37  88  62  61   2 130  18 147  65  18 157  75  22 105  29 104  36  32
  46 102  33  19  94 147 118  40  80 121  87  86  28  34 161  69 110   1
 156  52  69   6  83  93  80  80  99  15   2  67 160 148]",312295.22500000015,"[  808   551   322  2127   999  3514  1140   883  2198  4597   182  1202
   891  2938  1789  5860  1699  1319   970   548   769  4210   593   911
  2275  2798  1722   357   655  1142   862   543  2963    11  3547   451
   386  5766  1257   626   301  3589   998  1175  2796  2978   701  2338
   162   402   438   588   905  3440  1132   350   228  1391  1607  1539
  2931  1111  2808  1652   706  1007  1733   938  5109   365  1583   663
  2708  1590  4172  2155  2445  4178   150   508  2517  3216  4792  1258
   555   189   863  2250  2064  1637   650  1872  1467  3573  3988  1128
  6355   190  1251   331  3585  1495  1155 12715  2703   689   970  3347
   894  2247  1229   545  2779  3486  2545   719  3795  3430   239  3079
 12451  2754   614  1140   179  2771   120   901   288   188  1752  3853
  1703  4383  4333  1501   946  1901  2146   492   550   396  3913  3796
  3741  2030  6021   866   671   758   268   710   607   229  1099   892
   393  2120  1972  2192  1048 15579  1244  3496  1456  2333  1318  1344
   955   193   259  3049  1439   886  3094  2989   776  2572  4737  3044
 13438  3365  4822  2998  3465  1464   983  2332  2206   609  1771  4521
  1896  1484  5186  2432  1471   876  3780  1976   973  2025   360  3628
  1094 13658  2462  7394  3884  1488   642  1601  2396  1365  1569  2681
  2232  1990  1865  4676  5170 18022   908  3647 15151  1022  2544  2913
   996  2511  2455   553  1483  1173  4144  1704   938  1494  5837  3077
  7182  7652  2935  4765  1009  2046  2229  4953]"
6,"[ 18 133  63  32 104  82 139  74 115  39  67   2 112  69  36  85 144  14
  73 106 110  96  21   4   1   6  75  26 150  45   4 111  18  60  81 114
 124  80  19  56  88  17  13 122 163 141  80  15   3  22  85 113  66  53
  18  50 125  86  31  98 142  30  64  62   9  92  58  16 154   3 107   2
  77 135  97 138   1  64  65 103   9   8  87  11 118   4  40 117  51  34
 109 119  49  67  42  70  84  61 116  25  28 140 129  87 123 155  33  55
 155  29 101 128 100  79  64   1  27   9 146   7  83   2  91   1  65   3
  68   8  16  59 121  48  78 164  47 143 165  38   1  10  71 120 149  41
 133  69  84  88  43  60  72  20  54   8 153   5 147 156  62  90  89  81
  18  34 129  18  33 159  12  40 152  83 131 134  84  57  37  19   7  44
 147 158 160   3  15  25   4 127   2 105 162  38  23 159  95  24  52  44
  37 122  45 137 145  33 160 147  76 131 157 124  88 152  24   7  36  32
 161  35 136  19  94 147   4 161  80  57  61   5 151 102 108 122 156 132
   3 126  35   5  83  93  80  80  99  15  46 130   2 148]",295341.80899999995,"[ 3306  4589   542  1052  1337  3602   828  1687   445  4591   943   388
  1108   601  1546  1505   918  1890  1463  1057  1055  4214   587  1438
   230  1492  1500  3037  2749  1322   971  1236  2570   801  3296   553
   339  4863  3348   558   190  3563  2305   280  2627   843  2109   853
   199   600  2342   375   626  3424  1585  2075  2377  2864   192  3082
   831   969  2748  2560   193   998   262  1259  5087   288   433   370
  1109   903  4163  1153   342  3839  1065  1415   131  1127  1993   367
   910  1080  1961   188  1887  1486  2750  1777  2951  2245  3997  1439
  9060   925   938   690   997   689  1724  2699  1138  2040  1179   571
  1828  2394  2032  3149  2735  3502  2094   522  3892  1683   188   101
 12722   232  1218   133  1756   211   545   284  3226  1127  1016  3851
   562   657  4269   687   392  2008   943   880   328  1122  2997  3816
  3259   817  5618  2928  1744  1316   299   390  1005   711   623   437
  3127  1445  1245  1885  1538 15109  1598  4510  2220  4867  1141  2058
   879  2773    47  3179   978  2195  2592   885  3230  2448  1575  2576
 14603  3405  2572  1496  3486  3198  3206  2489   587  1934  3367  5136
  2761  1987  5291  1255  1608  1131  2324   427  2040  2040   754  3121
   948 12969  1405  2765  3917   918  1561   141  3330   440  3453  2518
  2305  2799   900  4077  5148 17449  2516  3322 14671  1792  2018   746
  2550  1971  2175  1482  4151  2848   904  2055  1537  1054  5541  3085
  6552  7191  2939  5277  2244  3548   826  4457]"
7,"[ 31  62 139  71 124  82  10  68  78  39 114   3  19  49 127  69 119  12
  92  30   2  96  69 156  14  33  55  70 150 140 161 141  98  77  81 110
   2  80  60 153   3  17  61 145 163 149  54 125   3   2 113 152 137  53
 118  50 152  86   1  36 129  37  64 131 165 111 156 115 154 116  24   5
 103  60  97 129  67  64 144  62 109 128  15  76  61  35  90  18 108  72
  43  35 106 162  42 136  89 164  22   4  16  24  66 133  87  74 146  38
 117  84 135  18 100  79 104  44  27   1 155   9  83  44  33  80   1   4
  59   6   2  67  51  48   7 147  47  64  18 160  57   4  63 122 159  41
 133 126  84  88  28   8   8 138 101   2   5 122   4   1 123  58  18  81
  56  34  85  18 142 112 121  25 107  83 131  16  84  15   8  19  36  26
 147 158 160  33   4   9   5   1  45 134  85  38  23  11  95   7  20  25
  37  32  45  88  57 130  65 147   7 120 157  75 105  73  29  40 124  21
  46 102  13  19  94 147  88  40  80 155  65 159 151  34 161   3  91 132
 122  52   3   9  83  93  80  80  99  15  87  32 143 148]",308353.48799999955,"[  199  1244   849   339   353  3662   897   550   566  4608   544   821
  2222  2942  2453   864  2152   861   970   968    86  4211   596  2886
  2056   860   567  1395  2754   721  1788   880  2976  1126  3699  1546
   708  6174  1358   617   112  3551  2005   734  2664  2981   995  2340
   305   275   375    30  2022  3513   905  2062   168  2851     5  1153
  2066  1143  2895  2131   394  1270  3230   445  5131   979  1777   310
  1420  1247  4174  1694  1487  4422   870  1622  2452  3203  4986  1359
  1510  1743  1916  1868  2069   308  1813  2405  1225  3587  3991   915
  1878   646   646   979  2823  2669  1226 12896  1160  1680   200  3783
   187  2322   920  2547  2732  3500  1398  2172  3887   106   922   927
 11859  1622   275  1918     5   649  1119  1490   303  1638  1741  3858
   269  3967  4231  1228  2313   418  1788   998   529   384  3711  3795
  3319  2034  6078  2328   990   117   215  1082  1916   659   169   311
   848     4  1125   260  2330 14615   556  3680  2642  4633   726  1010
  1018  1910   425  3104  1647  1919  3332  2063  1689  2669  5430  3045
 13945  3390  3347  3743  3991   177  1586  1999  2162  2318  1212  4170
  2725   354  5095   362   396  2025  3968   828  1533   618   950  3609
   676 13381  1480  3724  3891  1500  1615  1504  2398  1686   897   625
  2225  1957  2231  4132  5133 18172  1907  3212 14805  2880  1920  2208
  2550  2416  3309   748  1264  2821  1472  1671  1115   765  5348  3062
  6760  7349  2948  4710  2974  2641   678  4648]"
8,"[ 18 133 142  11   1  82  77  74 143  39 120   8  56  69 115  85   1  14
  73   5 110  96   3   4 164   6  75  26 150 139 107  10  18 111  81   4
 152  80  19 152   2  17  13  58 163  12  80  22 122   2  85   7 135  53
  18  50 125  86  67  98  25 140  64  62  65 122  91  16 154 112 122  61
   3   2  97  71   7  64  20 103  68  24  87 153 124  54  40  69  51  34
 109 119  49  67  42   1  84 136 138   4  30  21 129  87  33 155  33   1
 155  29 101 128 100  79  64 145  27   9   8  66  83 123  92 144  65  72
   2 114  16  88   9  48  32   5  47  36 104  38  44  59  55   3 149  41
 133 121  84  88  43  31  70   1 106   8  78 165 147 156  62  90  89  81
  18  34   7  18  33 159 116  40 146  83 131 134  84   9  37  19   5  44
 147 158 160   3  15  25   4 127 160 105 162  38  23 159  95 124  52  63
  37 129  45 137 113   2 118 147  76 131 157 141  88   3  24  60  36  32
 161  35 117  19  94 147   4 161  80  57  61  60 151 102 108  28 156 132
  15 126  35  45  83  93  80  80  99  15  46 130  57 148]",301560.8440000001,"[ 3376  4811   756   373   219  3654  1120  1666   697  4607  1725   606
   619   468   494  1517   400  1865  1446    59  1049  4216    69  1510
   855  1493  1504  3034  2758   825   438   891  2659  1304  3523  1162
    93  5064  3368    96    63  3573  2349   259  2637   861  2178   604
   385   186  2330    76   899  3418  1549  2043  2375  2851   159  3104
  3004   691  2916  2592  1031   772  1233  1336  5113   987   982   890
   331   412  4165   329   453  3758   397  1424   546  3772  2054   634
   516  1148  1921   999  1914  1479  2691  1804  2923  2927  4048   587
  8703   886  1109   488   997   604  2521  2684  1222  2110  1189   241
  1796  2390  2043  3166  2723  3513  2111   852  3838  1321   252  1325
 13299  1133   971   806  1680   303   229   492  3136   423   135  3807
   673   223  4213  1136  1295  1938  2070  1144   549   174  2997  3797
  3208  1018  5793  2916  1752   194  1387   653  1102  1165   548   390
  3271  1387  1200  1889  1558 14653  1508  4578  1587  5055  2668  2090
  1002  2845   195  3227  1052  2200  2678   569  3351  2483  2310  2778
 15174  3390  2537  1527  3680  1551  3244  2490  1506  1907  3365  5235
  2759  1971  5201   729  1601   520  2216  1211   943  2051   380  1449
   905 12945  1395  2693  3884   895  1520   885  2663  1056  3799  2851
  2196  2738   188  4025  5123 17255  2494  3419 14683  1088  2009  1307
  2550  1977  2180   994  4234  2824  1306  2045  1632  2599  5452  3062
  6531  7040  2928  5474  2252  3558  1551  4512]"
9,"[124 135 152  50  18  82  85 107  13  39   3 106 117  49   4  80  44  76
  92 152  71  96   2 122 137 163  16   5  88  15   5 165  98  69  81  61
 145  80   3   1 124  17  45  19 132 149  56 125   2 141   9  21 122  53
   9  20  55  70  74 129  35  77 155  54 116   2 156 140 154 160  89  59
  85   4  97 129  44  64   1 143 109 128 161 111  63   4 142  18 108 119
 164  35 103 162  42   7  15 113  91  78  64  87 123 133 100 144  88  38
  40  84 153  24  23  79 151  28  27  62 155  25  83 150   3 120   7  16
  60  72   8  32  51  48  37 147  47 131 136  18  90  57  65  66 159  41
 133 126  84  31   8   3   8   3  22 146 138  58  67  57 101 134 139  81
  64  34   9  18   7 159  68  33 112  83   4  10  84 131   1  19  36  26
 147 158  24  33   4  25 114  60  45   1  43  38  14 118  95 127  73  12
  37  88  62  61 115 130   2 147  65  18 157  75  11 105  29 104  36  32
  46 102  33  19  94 147   5  40  80 121  87  86 122  34 161  69 110   1
 156  52  30   6  83  93  80  80  99  15   2  67 160 148]",305822.31900000013,"[  635   918    81  2127  2095  3443  1076   431  2179  4602   500  1210
   189  2943  1742  5734  1623  1306   959   103   325  4218    83   620
  2277  2787  1733   370  1040  1099   351   394  2978   368  3469  1168
   808  5674  1291    70   595  3564  2043  1159  2793  2980   515  2340
   189   842   138   598   175  3416   135   380   571  1384  1613  1570
  2898  1113  2754  1585  1060   475  1731   724  5115   897  1565  1146
  2775  1574  4174  2137  2500  4126   155   688  2471  3208  4857  1307
   535  1248   737  2287  2067  1596   653  1887  1454  3598  3997   923
  6271   372  1262   547  3819  1458  1170 12839  2682   868  1067  3549
  1173  2301   628  1231  2808  3469  2548   995  3839  3484  1542  3071
 12546  2757   511  1194   250  2773   103   299   491   429  1767  3859
  1649  4296  4304   754   878  1968  2164   520   703   686  4049  3791
  3630  2035  6140   203   555   465   963   679   606   189  1109   262
   572  2032  1979  2188   815 15791  1288  3448  1645  2000   941  1318
   545   369   993  2809  1305   877  2939  2829   552  2377  4585  3043
 13516  3396  4713  2922  3263  1429   576  2327  2414   619  1781  4472
  1900   908  5229  2434  1478   871  3830  1740   912  1889   414  3600
   381 13608  2447  7208  3892  1498   361  1628  2395  1388  1601  3054
  2233  1997  1852  4949  5200 18050  1497  3698 15295  1021  2579  2903
  1433  2573  2515  1100  1506   697  4137  1724   982  1491  5955  3083
  7093  7563  2934  4834   989  2531  2225  4942]"
